user_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,customers_segment
1765271,45,2,0.311505196,2,3,3,233,Others
1774518,36,1,0.1571814733,2,1,3,213,Loyal Customers
1790122,84,1,0.1563246454,1,1,3,113,Recent Customers
1836258,7,2,0.3114764168,4,3,3,433,Loyal Customers
1861317,56,2,0.3176674673,1,3,3,133,Recent Customers
1896406,0,6,0.9351592644,4,4,4,444,Lost Cheap Customers
1908968,27,3,0.7190240955,2,3,4,234,Others
1944410,78,1,0.1557719559,1,1,2,112,Recent Customers
1948906,1,7,1.090933057,4,4,4,444,Lost Cheap Customers
1982101,35,1,0.1556185124,2,1,1,211,Loyal Customers
2000071,19,11,1.714325367,3,4,4,344,Loyal Customers
2008332,59,1,0.1558287422,1,1,2,112,Recent Customers
2032595,24,3,0.4688025923,2,3,4,234,Others
2037680,67,1,0.1674349939,1,1,3,113,Recent Customers
2038010,5,1,0.1559653839,4,1,2,412,Loyal Customers
2046286,60,1,0.1557331415,1,1,2,112,Recent Customers
2071002,67,1,0.1568296482,1,1,3,113,Recent Customers
2093978,1,13,2.027881801,4,4,4,444,Lost Cheap Customers
2118053,64,1,0.1556476623,1,1,2,112,Recent Customers
2130053,12,1,0.1557628589,3,1,2,312,Loyal Customers
2171060,23,25,4.072882339,2,4,4,244,Loyal Customers
2176336,37,1,0.1556714499,2,1,2,212,Loyal Customers
2212040,67,1,0.155735467,1,1,2,112,Recent Customers
2212400,64,2,0.3114497503,1,3,3,133,Recent Customers
2256085,36,1,0.1556768946,2,1,2,212,Loyal Customers
2260660,56,1,0.1562310528,1,1,2,112,Recent Customers
2264672,66,2,0.3123960198,1,3,3,133,Recent Customers
2268933,33,1,0.1559829095,2,1,2,212,Loyal Customers
2278861,32,1,0.1556185124,2,1,1,211,Loyal Customers
2306632,1,1,0.1556185124,4,1,1,411,Lost Customers
2306683,59,1,0.1566690676,1,1,3,113,Recent Customers
2307280,71,1,0.1560606853,1,1,2,112,Recent Customers
2307540,11,2,0.3119037539,3,3,3,333,Others
2310197,40,1,0.1557165202,2,1,2,212,Loyal Customers
2343180,23,8,1.248890111,2,4,4,244,Loyal Customers
2357633,18,8,1.247857722,3,4,4,344,Loyal Customers
2359810,0,40,6.272678263,4,4,4,444,Lost Cheap Customers
2368070,33,1,0.1558590168,2,1,2,212,Loyal Customers
2373172,49,3,0.4679769953,1,3,3,133,Recent Customers
2376082,4,2,0.3113268691,4,3,3,433,Loyal Customers
2376898,0,3,0.4683912092,4,3,3,433,Loyal Customers
2386125,65,2,0.3116595964,1,3,3,133,Recent Customers
2386576,42,1,0.1557243526,2,1,2,212,Loyal Customers
2398485,7,3,0.4674350809,4,3,3,433,Loyal Customers
2419430,28,2,0.3114390639,2,3,3,233,Others
2437581,25,4,0.6227128999,2,4,4,244,Loyal Customers
2443648,7,7,1.091269991,4,4,4,444,Lost Cheap Customers
2448273,0,7,1.091575484,4,4,4,444,Lost Cheap Customers
2448862,17,2,0.3128414938,3,3,3,333,Others
2454945,54,2,0.3129968121,1,3,3,133,Recent Customers
2459532,57,1,0.1556563138,1,1,2,112,Recent Customers
2460085,68,4,0.6256699813,1,4,4,144,Recent Customers
2475740,3,5,0.7823592056,4,4,4,444,Lost Cheap Customers
2482336,0,1,0.1556185124,4,1,1,411,Lost Customers
2484911,17,5,0.782832998,3,4,4,344,Loyal Customers
2526521,70,2,0.3119922366,1,3,3,133,Recent Customers
2590163,11,1,0.156032684,3,1,2,312,Loyal Customers
2599062,64,2,0.3119143561,1,3,3,133,Recent Customers
2630333,47,1,0.1556710751,1,1,2,112,Recent Customers
2715755,4,14,2.181663827,4,4,4,444,Lost Cheap Customers
2717926,0,3,0.4680375659,4,3,3,433,Loyal Customers
2723907,13,3,0.4674491701,3,3,3,333,Others
2726607,11,22,3.467666313,3,4,4,344,Loyal Customers
2730072,11,3,0.4679022556,3,3,3,333,Others
2743996,1,1,0.1557746429,4,1,2,412,Loyal Customers
2755302,0,4,0.6233457711,4,4,4,444,Lost Cheap Customers
2836328,70,1,0.1568613335,1,1,3,113,Recent Customers
2847875,49,1,0.155632482,1,1,2,112,Recent Customers
2868908,87,1,0.1558903591,1,1,2,112,Recent Customers
2926328,13,3,0.4674452424,3,3,3,333,Others
2930716,12,5,0.7782427846,3,4,4,344,Loyal Customers
2997807,0,1,0.1556237675,4,1,2,412,Loyal Customers
